"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Volume of Sales","2010 January","All Dwelling Statuses","All","Filings","All Buyer Types","Number","982"
"Volume of Sales","2010 January","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","534"
"Volume of Sales","2010 January","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","292"
"Volume of Sales","2010 January","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","156"
"Volume of Sales","2010 January","All Dwelling Statuses","All","Executions","All Buyer Types","Number","947"
"Volume of Sales","2010 January","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","537"
"Volume of Sales","2010 January","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","297"
"Volume of Sales","2010 January","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","113"
"Volume of Sales","2010 January","New","All","Filings","All Buyer Types","Number","372"
"Volume of Sales","2010 January","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","217"
"Volume of Sales","2010 January","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","93"
"Volume of Sales","2010 January","New","All","Filings","Household Buyer - Non-Occupier","Number","62"
"Volume of Sales","2010 January","New","All","Executions","All Buyer Types","Number","257"
"Volume of Sales","2010 January","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","145"
"Volume of Sales","2010 January","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","80"
"Volume of Sales","2010 January","New","All","Executions","Household Buyer - Non-Occupier","Number","32"
"Volume of Sales","2010 January","Existing","All","Filings","All Buyer Types","Number","610"
"Volume of Sales","2010 January","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","317"
"Volume of Sales","2010 January","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","199"
"Volume of Sales","2010 January","Existing","All","Filings","Household Buyer - Non-Occupier","Number","94"
"Volume of Sales","2010 January","Existing","All","Executions","All Buyer Types","Number","690"
"Volume of Sales","2010 January","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","392"
"Volume of Sales","2010 January","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","217"
"Volume of Sales","2010 January","Existing","All","Executions","Household Buyer - Non-Occupier","Number","81"
"Volume of Sales","2010 February","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1273"
"Volume of Sales","2010 February","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","683"
"Volume of Sales","2010 February","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","412"
"Volume of Sales","2010 February","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","178"
"Volume of Sales","2010 February","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1191"
"Volume of Sales","2010 February","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","656"
"Volume of Sales","2010 February","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","396"
"Volume of Sales","2010 February","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","139"
"Volume of Sales","2010 February","New","All","Filings","All Buyer Types","Number","449"
"Volume of Sales","2010 February","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","233"
"Volume of Sales","2010 February","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","143"
"Volume of Sales","2010 February","New","All","Filings","Household Buyer - Non-Occupier","Number","73"
"Volume of Sales","2010 February","New","All","Executions","All Buyer Types","Number","372"
"Volume of Sales","2010 February","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","224"
"Volume of Sales","2010 February","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","113"
"Volume of Sales","2010 February","New","All","Executions","Household Buyer - Non-Occupier","Number","35"
"Volume of Sales","2010 February","Existing","All","Filings","All Buyer Types","Number","824"
"Volume of Sales","2010 February","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","450"
"Volume of Sales","2010 February","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","269"
"Volume of Sales","2010 February","Existing","All","Filings","Household Buyer - Non-Occupier","Number","105"
"Volume of Sales","2010 February","Existing","All","Executions","All Buyer Types","Number","819"
"Volume of Sales","2010 February","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","432"
"Volume of Sales","2010 February","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","283"
"Volume of Sales","2010 February","Existing","All","Executions","Household Buyer - Non-Occupier","Number","104"
"Volume of Sales","2010 March","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1607"
