Table B.3.1  Retail Interest Rates - Lending for House Purchase,Reporting Date,BTL - Floating Rate - Standard or LTV Variable,BTL - Floating Rate - Tracker Mortgages,BTL - Fixed Rate - From 1 to 3 years,BTL - Fixed Rate - Over 3 years,PDH - Floating Rate - Standard or LTV Variable,PDH - Floating Rate - Tracker Mortgages,PDH - Floating Rate - Up to 1 year fixed,PDH - Fixed Rate - From 1 to 3 years,PDH - Fixed Rate - Over 3 years
Outstanding Amounts - Rates (%),31 Dec 2014,4.53,1.09,5.33,4.54,4.19,1.03,3.33,4.49,3.94
Outstanding Amounts - Rates (%),31 Mar 2015,4.52,1.09,5.10,4.43,4.26,1.05,3.33,4.31,3.83
Outstanding Amounts - Rates (%),30 Jun 2015,4.39,1.09,4.93,4.25,4.11,1.05,3.41,4.19,3.75
Outstanding Amounts - Rates (%),30 Sep 2015,4.56,1.09,4.84,3.79,4.08,1.07,3.50,4.01,3.68
Outstanding Amounts - Rates (%),31 Dec 2015,4.62,1.10,4.65,3.70,3.97,1.07,3.64,3.91,3.63
Outstanding Amounts - Rates (%),31 Mar 2016,4.36,1.06,4.59,3.12,3.94,1.02,3.60,3.84,3.51
Outstanding Amounts - Rates (%),30 Jun 2016,4.34,1.05,4.51,2.40,3.91,1.01,3.57,3.78,3.43
Outstanding Amounts - Rates (%),30 Sep 2016,4.24,1.06,4.48,2.30,3.82,1.03,3.54,3.70,3.37
Outstanding Amounts - Rates (%),30 Dec 2016,4.20,1.06,4.44,2.81,3.77,1.03,3.50,3.60,3.36
Outstanding Amounts - Rates (%),31 Mar 2017,4.20,1.06,4.41,2.78,3.76,1.03,3.51,3.53,3.34
Outstanding Amounts - Rates (%),30 Jun 2017,4.38,1.09,4.37,2.72,3.78,1.04,3.53,3.47,3.24
Outstanding Amounts - Rates (%),29 Sep 2017,4.15,1.05,4.31,2.59,3.75,1.04,3.49,3.39,3.23
Outstanding Amounts - Rates (%),29 Dec 2017,4.03,1.05,4.34,2.97,3.66,1.04,3.42,3.33,3.22
Outstanding Amounts - Rates (%),29 Mar 2018,3.94,1.05,4.34,3.03,3.61,1.07,3.26,3.28,3.18
Outstanding Amounts - Rates (%),29 Jun 2018,3.95,1.07,4.24,3.15,3.63,1.08,3.22,3.23,3.15
Outstanding Amounts - Rates (%),28 Sep 2018,3.80,1.06,4.16,3.10,3.58,1.09,3.12,3.16,3.12
Outstanding Amounts - Rates (%),31 Dec 2018,3.83,1.06,4.11,3.54,3.55,1.08,3.07,3.09,3.07
Outstanding Amounts - Rates (%),29 Mar 2019,3.80,1.06,4.03,3.55,3.54,1.07,3.04,3.05,3.06
Outstanding Amounts - Rates (%),28 Jun 2019,3.93,1.06,3.94,3.58,3.49,1.08,3.01,3.01,3.06
