"Statistic Label","Census Year","Ability to Speak Irish","Administrative Counties 2019","UNIT","VALUE"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Carlow County Council","Number","21426"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Dublin City Council","Number","162400"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Dún Laoghaire Rathdown County Council","Number","93899"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Fingal County Council","Number","113366"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","South Dublin County Council","Number","98014"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Kildare County Council","Number","95484"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Kilkenny County Council","Number","41037"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Laois County Council","Number","33538"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Longford County Council","Number","14993"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Louth County Council","Number","44078"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Meath County Council","Number","80822"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Offaly County Council","Number","28231"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Westmeath County Council","Number","33598"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Wexford County Council","Number","55198"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Wicklow County Council","Number","56012"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Clare County Council","Number","54437"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Cork City Council","Number","85543"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Cork County Council","Number","152683"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Kerry County Council","Number","62877"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Limerick City & County Council","Number","78172"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Tipperary County Council","Number","66003"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Waterford City & County Council","Number","48106"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Galway City Council","Number","32708"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Galway County Council","Number","89222"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Leitrim County Council","Number","13153"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Mayo  County Council","Number","56346"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Roscommon County Council","Number","26853"
"Population aged 3 years and over by ability to speak Irish","2022","Yes","Sligo County Council","Number","26506"
